model_condition_id,namespace,status,expected_rows,score_rows,adapter_rows,controlled_rows,backend_error_rows,parse_and_score_success_rows,http_200_rows,http_null_rows,backend_parse_success_rows,backend_parse_failure_rows,nonbackend_parse_failure_rows,api_calls_performed,vcr_audit_cache_miss_count,vcr_audit_failure_count,primary_candidate
deepseek_v4pro,ALL_MODEL_DIRECT_CLEAN_V2_FROM_ZERO_20260628,COMPLETE,1440,1440,1440,1440,6,1434,1439,1,5,1,5,8760,0,0,true
qwen37max,ALL_MODEL_DIRECT_CLEAN_V2_FROM_ZERO_20260628,COMPLETE,1440,1440,1440,1440,0,1440,1440,0,0,0,0,8760,0,0,true
kimi_k26,ALL_MODEL_DIRECT_CLEAN_V2_FROM_ZERO_20260628,COMPLETE,1440,1440,1440,1440,7,1438,1437,3,5,2,0,8760,0,0,true
openrouter_claude48,OPENROUTER_GPT_CLAUDE_CLEAN_V2_FROM_ZERO_20260627,COMPLETE,1440,1440,1440,1440,0,1439,1440,0,0,0,1,8760,0,0,true
openrouter_gpt55,OPENROUTER_GPT_CLAUDE_CLEAN_V2_FROM_ZERO_20260627,COMPLETE,1440,1440,1440,1440,0,1433,1440,0,0,0,7,8760,0,0,true
TOTAL,clean_v2_execution_closure,COMPLETE,7200,7200,7200,7200,13,7184,7196,4,10,3,13,43800,0,0,true
