backfill_id,packet_id,global_artifact_id,task_id,method,budget,run_id,provider,model,answer_success,state_governance_success,reliable_composite_success,release_row_h5_sha256,h5_status
pcg_dynamic_state_v2_targeted_missing_rows_backfill_20260623,deepseek_decisive_104,_probe_ecvs_deepseek_v4pro_pcg_dynamic_state_v2_e10_h3_decisive_13task_4method_2budget_1run::pcgds_v2_00026_decoy_heavy_same_prefix_config_easy::mature_ssr_loop::budget600::run1,pcgds_v2_00026_decoy_heavy_same_prefix_config_easy,mature_ssr_loop,600,1,deepseek,deepseek-v4-pro,False,False,False,5547a4693b137755f17469d0f98be48b1d0f18cc5f1be3b1dcd36d87c36accf4,H5_PRIVATE_RAW_LOCK
pcg_dynamic_state_v2_targeted_missing_rows_backfill_20260623,deepseek_random10_rerun100,_probe_deepseek_pcg_dynamic_state_v2_random10_6method_3budget_1run_20260622_rerun100::pcgds_v2_00032_decoy_heavy_same_prefix_config_hard::loop_only::budget300::run1,pcgds_v2_00032_decoy_heavy_same_prefix_config_hard,loop_only,300,1,deepseek,deepseek-v4-pro,False,False,False,6ea1da52f3a899e2d3972efcd9fd69308af9ec5940012fd95f9357b527c28603,H5_PRIVATE_RAW_LOCK
