model_condition_id,role,status,expected_rows,controlled_rows,score_rows,adapter_rows,cassette_rows,replay_rows,backend_error_count,parse_and_score_success_count,parse_failure_count,backend_parse_success_rows,backend_parse_failure_rows,nonbackend_parse_failure_rows,http_status_counts,api_calls_performed,primary_analysis_eligible,started_at_utc,created_at_utc,elapsed_seconds,vcr_cache_miss_count,vcr_failure_count,vcr_api_calls_performed,hash_manifest_rows,hash_manifest_verification_failures,summary_path,run_report_path,hash_manifest_path
openrouter_claude48,budget300_diagnostic,COMPLETE,160,160,160,160,160,160,0,158,2,0,0,2,"{""200"": 160}",960,False,2026-06-29T03:47:26Z,2026-06-29T03:54:54Z,448.29,0,0,0,15,0,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/openrouter_claude48/budget300_diagnostic/summary.budget300_diagnostic.json,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/openrouter_claude48/budget300_diagnostic/RUN_REPORT.budget300_diagnostic.md,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/openrouter_claude48/budget300_diagnostic/HASH_MANIFEST.budget300_diagnostic.jsonl
openrouter_gpt55,budget300_diagnostic,COMPLETE,160,160,160,160,160,160,0,160,0,0,0,0,"{""200"": 160}",960,False,2026-06-29T03:55:28Z,2026-06-29T03:59:40Z,251.774,0,0,0,15,0,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/openrouter_gpt55/budget300_diagnostic/summary.budget300_diagnostic.json,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/openrouter_gpt55/budget300_diagnostic/RUN_REPORT.budget300_diagnostic.md,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/openrouter_gpt55/budget300_diagnostic/HASH_MANIFEST.budget300_diagnostic.jsonl
deepseek_v4pro,budget300_diagnostic,COMPLETE,160,160,160,160,160,160,0,160,0,0,0,0,"{""200"": 160}",960,False,2026-06-29T04:49:45Z,2026-06-29T04:53:56Z,251.002,0,0,0,15,0,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/deepseek_v4pro/budget300_diagnostic/summary.budget300_diagnostic.json,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/deepseek_v4pro/budget300_diagnostic/RUN_REPORT.budget300_diagnostic.md,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/deepseek_v4pro/budget300_diagnostic/HASH_MANIFEST.budget300_diagnostic.jsonl
qwen37max,budget300_diagnostic,COMPLETE,160,160,160,160,160,160,0,160,0,0,0,0,"{""200"": 160}",960,False,2026-06-29T04:53:57Z,2026-06-29T05:00:04Z,366.965,0,0,0,15,0,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/qwen37max/budget300_diagnostic/summary.budget300_diagnostic.json,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/qwen37max/budget300_diagnostic/RUN_REPORT.budget300_diagnostic.md,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/qwen37max/budget300_diagnostic/HASH_MANIFEST.budget300_diagnostic.jsonl
kimi_k26,budget300_diagnostic,COMPLETE,160,160,160,160,160,160,0,160,0,0,0,0,"{""200"": 160}",960,False,2026-06-29T05:00:05Z,2026-06-29T05:08:32Z,507.729,0,0,0,15,0,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/kimi_k26/budget300_diagnostic/summary.budget300_diagnostic.json,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/kimi_k26/budget300_diagnostic/RUN_REPORT.budget300_diagnostic.md,artifact/results/main_matrix/record_mode_20260627/BUDGET300_DIAGNOSTIC_DIRECT_V2_20260629/kimi_k26/budget300_diagnostic/HASH_MANIFEST.budget300_diagnostic.jsonl
